source,category,full_path
id02071,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id02071/00195.mp4
id02508,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id02508/00083.mp4
id02586,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id02586/00042.mp4
id02617,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id02617/00028.mp4
id02808,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id02808/00056.mp4
id02838,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id02838/00080.mp4
id02948,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id02948/00298.mp4
id03103,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id03103/00130.mp4
id03569,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id03569/00065.mp4
id03658,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id03658/00077.mp4
id04055,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id04055/00001.mp4
id04245,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id04245/00072.mp4
id04437,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id04437/00002.mp4
id04540,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id04540/00078.mp4
id04689,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id04689/00005.mp4
id04705,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id04705/00408.mp4
id04939,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id04939/00174.mp4
id05106,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id05106/00078.mp4
id05231,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id05231/00149.mp4
id05251,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id05251/00033.mp4
id05252,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id05252/00052.mp4
id05980,A,FakeAVCeleb/RealVideo-RealAudio/African/women/id05980/00143.mp4
id00166,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00166/00010_fake.mp4
id00173,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00173/00118_fake.mp4
id00391,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00391/00052_fake.mp4
id00475,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00475/00099_fake.mp4
id00476,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00476/00109_fake.mp4
id00478,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00478/00206_fake.mp4
id00518,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00518/00031_fake.mp4
id00701,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00701/00092_fake.mp4
id00761,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00761/00072_fake.mp4
id00781,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00781/00092_fake.mp4
id00830,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00830/00143_fake.mp4
id00987,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id00987/00160_fake.mp4
id01036,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01036/00010_fake.mp4
id01076,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01076/00005_fake.mp4
id01171,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01171/00053_fake.mp4
id01207,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01207/00320_fake.mp4
id01452,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01452/00001_fake.mp4
id01521,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01521/00109_fake.mp4
id01530,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01530/00002_fake.mp4
id01544,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01544/00044_fake.mp4
id01597,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01597/00005_fake.mp4
id01598,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01598/00044_fake.mp4
id01691,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01691/00045_fake.mp4
id01856,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01856/00006_fake.mp4
id01920,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01920/00099_fake.mp4
id01933,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01933/00028_fake.mp4
id01972,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01972/00078_fake.mp4
id01995,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id01995/00071_fake.mp4
id02005,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id02005/00052_fake.mp4
id02296,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id02296/00019_fake.mp4
id02316,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id02316/00094_fake.mp4
id02342,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id02342/00191_fake.mp4
id02494,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id02494/00050_fake.mp4
id04727,B,FakeAVCeleb/RealVideo-FakeAudio/African/men/id04727/00007_fake.mp4
id00371,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id00371/00099_fake.mp4
id00460,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id00460/00005_fake.mp4
id00568,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id00568/00384_fake.mp4
id00592,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id00592/00017_fake.mp4
id00707,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id00707/00052_fake.mp4
id00829,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id00829/00271_fake.mp4
id00832,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id00832/00078_fake.mp4
id01178,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id01178/00028_fake.mp4
id01838,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id01838/00126_fake.mp4
id02071,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id02071/00195_fake.mp4
id02508,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id02508/00083_fake.mp4
id02586,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id02586/00042_fake.mp4
id02617,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id02617/00028_fake.mp4
id02808,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id02808/00056_fake.mp4
id02838,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id02838/00080_fake.mp4
id02948,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id02948/00298_fake.mp4
id03103,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id03103/00130_fake.mp4
id03569,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id03569/00065_fake.mp4
id03658,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id03658/00077_fake.mp4
id04055,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id04055/00001_fake.mp4
id04245,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id04245/00072_fake.mp4
id04437,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id04437/00002_fake.mp4
id04540,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id04540/00078_fake.mp4
id04689,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id04689/00005_fake.mp4
id04705,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id04705/00408_fake.mp4
id04939,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id04939/00174_fake.mp4
id05106,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id05106/00078_fake.mp4
id05231,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id05231/00149_fake.mp4
id05251,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id05251/00033_fake.mp4
id05252,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id05252/00052_fake.mp4
id05980,B,FakeAVCeleb/RealVideo-FakeAudio/African/women/id05980/00143_fake.mp4
id00166,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00166/00010_id01637_5VjcPZm8knM_faceswap.mp4
id00173,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap.mp4
id00391,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00391/00052_id00476_UgdYVJ6xPYg_faceswap.mp4
id00475,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00475/00099_0.mp4
id00475,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00475/00099_2.mp4
id00476,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00476/00109_0.mp4
id00476,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00476/00109_id00476_UgdYVJ6xPYg_faceswap.mp4
id00476,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00476/00109_id00781_fvsSae9yc0A_faceswap.mp4
id00478,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00478/00206_0.mp4
id00478,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00478/00206_id02296_IAgOrCuY8vU_faceswap.mp4
id00518,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00518/00031_0.mp4
id00518,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00518/00031_1.mp4
id00518,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00518/00031_2.mp4
id00518,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00518/00031_3.mp4
id00701,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00701/00092_id01036_AohKaMtIHxA_faceswap.mp4
id00761,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00761/00072_0.mp4
id00761,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00761/00072_id01835_UZbWA0QfXXA_faceswap.mp4
id00781,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00781/00092_id00476_UgdYVJ6xPYg_faceswap.mp4
id00830,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00830/00143_id00076_Isiq7cA-DNE_faceswap.mp4
id00987,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id00987/00160_id02005_7_Egh9mW5y4_faceswap.mp4
id01036,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01036/00010_id00701_lW6uzLIOwd0_faceswap.mp4
id01076,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01076/00005_id01207_mt129WTRSII_faceswap.mp4
id01171,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01171/00053_id02494_lObg47hQleE_faceswap.mp4
id01207,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01207/00320_id00076_Isiq7cA-DNE_faceswap.mp4
id01452,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01452/00001_id01528_SBAS9Kcb8QY_faceswap.mp4
id01544,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01544/00044_0.mp4
id01544,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01544/00044_3.mp4
id01597,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01597/00005_0.mp4
id01597,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01597/00005_1.mp4
id01597,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01597/00005_2.mp4
id01597,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01597/00005_3.mp4
id01598,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01598/00044_0.mp4
id01691,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01691/00045_0.mp4
id01691,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01691/00045_id01779_HgyHpDEo_jk_faceswap.mp4
id01856,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01856/00109_3.mp4
id01920,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01920/00099_id00476_UgdYVJ6xPYg_faceswap.mp4
id01933,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01933/00028_3.mp4
id01933,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01933/00028_id01170_7eoTTk4xyNo_faceswap.mp4
id01972,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01972/00078_2.mp4
id01972,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id01972/00078_3.mp4
id02005,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02005/00052_id02342_RJPBPhJB8TA_faceswap.mp4
id02296,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02296/00019_0.mp4
id02296,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02296/00019_00.mp4
id02296,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02296/00019_1.mp4
id02296,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02296/00019_2.mp4
id02296,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02296/00019_3.mp4
id02316,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02316/00094_0.mp4
id02342,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02342/00191_id02005_7_Egh9mW5y4_faceswap.mp4
id02494,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02494/00050_0.mp4
id02494,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id02494/00050_id00475_xQjvXRcnPvw_faceswap.mp4
id04727,C,FakeAVCeleb/FakeVideo-RealAudio/African/men/id04727/00007_0.mp4
id00460,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00460/00005.mp4
id00568,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00568/00384_id05252_CMxIX3absYM_faceswap.mp4
id00592,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00592/00017.mp4
id00707,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00707/00052_0.mp4
id00707,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00707/00052_id04820_64ybrA1atlM_faceswap.mp4
id00829,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00829/00271.mp4
id00829,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00829/00271_0.mp4
id00832,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id00832/00078_id00371_t20i0HtPwW0_faceswap.mp4
id01178,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id01178/00028_id05252_CMxIX3absYM_faceswap.mp4
id01838,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id01838/00126_id05235_ASy8lP3SRtw_faceswap.mp4
id02071,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id02071/00195_id02617_4EZjRXC4fLk_faceswap.mp4
id02508,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id02508/00083_id03658_8Wtu9VXKqjY_faceswap.mp4
id02586,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id02586/00042_id04939_i4v2cXo9HIQ_faceswap.mp4
id02617,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id02617/00028.mp4
id02808,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id02808/00056_id03103_wiCYm3THQPw_faceswap.mp4
id02948,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id02948/00298_0.mp4
id02948,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id02948/00298_id04820_64ybrA1atlM_faceswap.mp4
id03103,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id03103/00130_0.mp4
id03569,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id03569/00065_id00220_WlHLlTQKj8g_faceswap.mp4
id03658,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id03658/00077_id00371_t20i0HtPwW0_faceswap.mp4
id04055,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id04055/00001_id05252_CMxIX3absYM_faceswap.mp4
id04540,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id04540/00078_0.mp4
id04689,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id04689/00005_id04374_SWltOOZmlWM_faceswap.mp4
id04705,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id04705/00408_id05252_CMxIX3absYM_faceswap.mp4
id04939,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id04939/00174_id02586_dEYzYDsbAeo_faceswap.mp4
id05106,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id05106/00078_id04820_64ybrA1atlM_faceswap.mp4
id05231,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id05231/00149_id01178_6XpgYMiKxhc_faceswap.mp4
id05251,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id05251/00033_id01178_6XpgYMiKxhc_faceswap.mp4
id05252,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id05252/00052_0.mp4
id05252,C,FakeAVCeleb/FakeVideo-RealAudio/African/women/id05252/00052_id01178_6XpgYMiKxhc_faceswap.mp4
id00166,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00166/00010_id01637_5VjcPZm8knM_faceswap_id00166_wavtolip.mp4
id00166,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00166/00010_id01637_5VjcPZm8knM_faceswap_id00761_wavtolip.mp4
id00166,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00166/00010_id01637_5VjcPZm8knM_faceswap_id01171_wavtolip.mp4
id00166,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00166/00010_id01637_5VjcPZm8knM_faceswap_id01530_wavtolip.mp4
id00166,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00166/00010_id01637_5VjcPZm8knM_faceswap_id01598_wavtolip.mp4
id00173,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap_id00166_wavtolip.mp4
id00173,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap_id00173_wavtolip.mp4
id00173,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap_id01530_wavtolip.mp4
id00173,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap_id01598_wavtolip.mp4
id00173,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00173/00118_id00476_UgdYVJ6xPYg_faceswap_id01779_wavtolip.mp4
id00391,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00391/00052_id00476_UgdYVJ6xPYg_faceswap_id00761_wavtolip.mp4
id00391,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00391/00052_id00476_UgdYVJ6xPYg_faceswap_id01179_wavtolip.mp4
id00391,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00391/00052_id00476_UgdYVJ6xPYg_faceswap_id01610_wavtolip.mp4
id00391,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00391/00052_id00476_UgdYVJ6xPYg_faceswap_id02005_wavtolip.mp4
id00391,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00391/00052_id00476_UgdYVJ6xPYg_faceswap_id02342_wavtolip.mp4
id00475,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00475/00099_0_id01530_wavtolip.mp4
id00475,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00475/00099_0_id01920_wavtolip.mp4
id00475,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00475/00099_0_id01972_wavtolip.mp4
id00475,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00475/00099_0_id02316_wavtolip.mp4
id00475,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00475/00099_0_id04727_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00476_UgdYVJ6xPYg_faceswap_id00076_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00476_UgdYVJ6xPYg_faceswap_id00761_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00476_UgdYVJ6xPYg_faceswap_id00781_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00476_UgdYVJ6xPYg_faceswap_id00830_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00476_UgdYVJ6xPYg_faceswap_id01207_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00781_fvsSae9yc0A_faceswap_id00476_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00781_fvsSae9yc0A_faceswap_id00944_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00781_fvsSae9yc0A_faceswap_id01597_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00781_fvsSae9yc0A_faceswap_id01691_wavtolip.mp4
id00476,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00476/00109_id00781_fvsSae9yc0A_faceswap_id04727_wavtolip.mp4
id00478,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00478/00109_11_id00478_wavtolip.mp4
id00478,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00478/00109_11_id01610_wavtolip.mp4
id00478,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00478/00109_11_id01856_wavtolip.mp4
id00478,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00478/00109_11_id02005_wavtolip.mp4
id00478,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00478/00109_11_id02342_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_0_id00166_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_0_id00391_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_0_id00830_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_0_id01170_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_0_id02268_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_1_id00478_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_1_id00987_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_1_id01076_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_1_id01207_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_1_id02494_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_2_id01544_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_2_id01598_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_2_id01717_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_2_id01835_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_2_id02296_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_3_id00475_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_3_id01528_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_3_id01691_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_3_id02040_wavtolip.mp4
id00518,D,FakeAVCeleb/FakeVideo-FakeAudio/African/men/id00518/00031_3_id02268_wavtolip.mp4
