"group_order","row_order","experiment_group","experiment_name","script","job_ids","models_tested","result_A2","result_A5","result_A6","key_finding","paper_usage","protocol_parameters"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2 / A5 / A6","base=0.9925; visual_mask@100%=0.3565 (Δ=-0.6361)","base=0.9898; visual_mask@100%=0.3400 (Δ=-0.6499)","base=0.9892; visual_mask@100%=0.3248 (Δ=-0.6643)","Visual mask collapses FV-RA to ~0.32-0.36. Probe measures genuine visual-fake evidence in Z_c","Sanity check: modality-specific collapse validates probe methodology","Fresh probe. FV-RA vs RV-RA. Visual masking {0-100%}"
"5","12","FAVC BRANCH PROBE","RV-FA: audio mask vs visual mask (modality specificity)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2 / A5 / A6","base=0.9915; audio_mask@100%=0.4240; visual_mask@100%=0.9910","base=1.0000; audio_mask@100%=0.3700; visual_mask@100%=1.0000","base=1.0000; audio_mask@100%=0.3505; visual_mask@100%=1.0000","Audio mask destroys RV-FA (~0.37-0.42); visual mask has zero effect (1.0). Correct asymmetric modality collapse","Validates probe framework. Confirms Z_c modality assignment","Fresh probe. RV-FA vs RV-RA (N=100). Audio mask AND visual mask {0-100%}"
"5","13","FAVC BRANCH PROBE","FV-RA: visual noise gradient (model sensitivity)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2 / A5 / A6","base=0.9925; visual_noise@σ=1.0=0.6519 (Δ=-0.3407)","base=0.9898; visual_noise@σ=1.0=0.5251 (Δ=-0.4648)","base=0.9892; visual_noise@σ=1.0=0.4964 (Δ=-0.4928)","Noise sensitivity increases A2→A5→A6 (Δ: −0.34→−0.46→−0.49). FCD u_v is more specialized: higher precision but brittle to visual noise","Signature of genuine visual specialization. Use alongside head ablation","Fresh probe. FV-RA vs RV-RA. Visual noise σ {0 0.05 0.10 0.20 0.50 1.00}"
"6","14","SUBSPACE PROBE","A2 causal halves v_c / a_c / v_s / a_s (dim=512 each)","avh_sup/eval_subspace_probe.py","23658622","A2","v_c: ind=0.5704±0.0313; OOD=0.8906; dom=0.9944±0.0017 | a_c: ind=0.9431±0.0083; OOD=0.7553; dom=0.9824±0.0035 | v_s: ind=0.5570±0.0304; OOD=0.9140; dom=0.9895±0.0030 | a_s: ind=0.9158±0.0088; OOD=0.7626; dom=0.9797±0.0059 | Z_c: ind=0.9420 OOD=0.7052 dom=0.9975 | Z_s: ind=0.9190 OOD=0.7396 dom=0.9962","—","—","v_c OOD=0.8906 (high!). a_c OOD=0.7553. A2 has visual OOD capacity but head ablation shows it's never used","Establishes A2 has visual OOD capacity at Z_c level; head routing is the bottleneck","A2 unique split: v_c=Z_c[0:512]; a_c=Z_c[512:1024]; v_s=Z_s[0:512]; a_s=Z_s[512:1024]. 5-fold AV1M + OOD FAVC + domain"
"6","15","SUBSPACE PROBE","FCD visual subspaces s_v / u_v (dim=256 each)","avh_sup/eval_subspace_probe.py","23658623 / 23658624","A5 / A6","A2 ref: Zc_OOD=0.7052 (1024-dim baseline)","s_v: ind=0.5672±0.0172; OOD=0.8138; dom=0.9921±0.0023 | u_v: ind=0.7879±0.0102; OOD=0.8248; dom=0.9668±0.0058","s_v: ind=0.5297±0.0124; OOD=0.7258; dom=0.9890±0.0030 | u_v: ind=0.7818±0.0294; OOD=0.9238; dom=0.9763±0.0057","A6 u_v OOD=0.9238 (256-dim) beats A2 full 1024-dim Z_c (0.7052). s_v≈chance in-domain. u_v is primary OOD carrier","Strongest representation evidence. FCD u_v (256-dim) outperforms binary Z_c (1024-dim) on OOD","s_v=Z_c[0:256] (shared visual); u_v=Z_c[256:512] (unique visual). 5-fold AV1M + OOD FAVC + domain"
"6","16","SUBSPACE PROBE","FCD audio subspaces s_a / u_a (dim=256 each)","avh_sup/eval_subspace_probe.py","23658623 / 23658624","A5 / A6","A2 ref: a_c ind=0.9431 OOD=0.7553 dom=0.9824","s_a: ind=0.9906±0.0060; OOD=0.7496; dom=0.9820±0.0035 | u_a: ind=0.9950±0.0047; OOD=0.7570; dom=0.9377±0.0077","s_a: ind=0.9678±0.0086; OOD=0.7391; dom=0.9835±0.0038 | u_a: ind=0.9959±0.0035; OOD=0.7573; dom=0.9422±0.0101","Audio subspaces carry near-full in-domain signal. u_a has LOWEST domain AUC (A5=0.9377; A6=0.9422): adversarial pressure most effective here","A6 domain push-pull primarily distills domain correlation from u_a","s_a=Z_c[512:768] (shared audio); u_a=Z_c[768:1024] (unique audio). Same probe protocol"
"6","17","SUBSPACE PROBE","FCD spurious subspaces r_v / r_a (Z_s) and aggregates","avh_sup/eval_subspace_probe.py","23658622 / 23658623 / 23658624","A2 / A5 / A6","Z_c: ind=0.9420 OOD=0.7052 | Z_s: ind=0.9190 OOD=0.7396","r_v: ind=0.7354±0.0166; OOD=0.7890; dom=0.9899±0.0035 | r_a: ind=0.9949±0.0036; OOD=0.7575; dom=0.9836±0.0039 | vis_all_OOD=0.8220; aud_all_OOD=0.7559; syn_all_OOD=0.7686; uniq_all_OOD=0.6909","r_v: ind=0.7384±0.0209; OOD=0.8350; dom=0.9922±0.0019 | r_a: ind=0.9971±0.0020; OOD=0.7619; dom=0.9817±0.0063 | vis_all_OOD=0.8150; aud_all_OOD=0.7639; syn_all_OOD=0.6809; uniq_all_OOD=0.7736","Z_s/spurious branches also generalize (r_v OOD=0.79-0.84). Causal/spurious split ≠ OOD-good/bad. vis_all OOD > aud_all OOD","Spurious branches generalize too. Key is which subspace the head routes through","r_v=Z_s[0:256]; r_a=Z_s[256:512]; vis_all=cat(s_v+u_v); aud_all=cat(s_a+u_a); syn_all=cat(s_v+s_a); uniq_all=cat(u_v+u_a). Dim=512 for aggregates"
"7","18","HEAD ABLATION","A2 trained head: inference ablation (mask v_c or a_c)","avh_sup/eval_head_ablation.py","23658625","A2","baseline: AV1M=0.9975; FV-RA=0.4949; RV-FA=1.0000; overall=0.7648 | mask_vc: AV1M=0.9970(-0.0005); FV-RA=0.4613(-0.0336); RV-FA=1.0000; overall=0.7493(-0.0155) | mask_ac: AV1M=0.5280(-0.4695); FV-RA=0.4709(-0.0240); RV-FA=0.5375; overall=0.4280(-0.3369)","—","—","mask_vc: ΔAV1M=−0.0005 (negligible!). mask_ac: ΔAV1M=−0.4695. Head ignores v_c entirely. A2=audio-only detector at inference","Smoking gun: binary head never learned to use visual Z_c. Compare to A6 mask_uv","Zero Z_c[0:512]=v_c or Z_c[512:1024]=a_c at inference. No retraining. Eval AV1M + FAVC per-category"
"7","19","HEAD ABLATION","A5 trained head: inference ablation (all 8 subspace combos)","avh_sup/eval_head_ablation.py","23658626","A5","—","baseline: AV1M=0.9983; FV-RA=0.5860; RV-FA=0.9993; overall=0.8059 | mask_sv: AV1M=0.9981(-0.0003); FV-RA=0.5460(-0.0400); RV-FA=0.9999; overall=0.7881(-0.0178) | mask_uv: AV1M=0.9975(-0.0008); FV-RA=0.5259(-0.0601); RV-FA=0.9994; overall=0.7782(-0.0277) | mask_sa: AV1M=0.9961(-0.0023); FV-RA=0.7794(+0.1934); RV-FA=0.9983; overall=0.8916(+0.0858) | mask_ua: AV1M=0.9421(-0.0562); FV-RA=0.6631(+0.0772); RV-FA=0.9635; overall=0.8211(+0.0152) | mask_vis: AV1M=0.9957(-0.0026); FV-RA=0.4729(-0.1131); RV-FA=0.9999; overall=0.7541(-0.0518) | mask_aud: AV1M=0.7571(-0.2412); FV-RA=0.7934(+0.2074); RV-FA=0.5522; overall=0.7986(-0.0073) | mask_syn: AV1M=0.9899(-0.0084); FV-RA=0.8041(+0.2181); RV-FA=0.9977; overall=0.9021(+0.0962) | mask_uniq: AV1M=0.9710(-0.0274); FV-RA=0.5262(-0.0598); RV-FA=0.9961; overall=0.7721(-0.0338)","—","mask_vis ΔFVRA=−0.1131 (partial use). mask_sa ΔFVRA=+0.1934 (removing shared audio HELPS FV-RA). A5 weakly uses visual; not committed to u_v","A5 midway A2→A6. Structure exists but adversarial pressure insufficient to commit to u_v","Zero each Z_c slice at inference: sv[0:256]; uv[256:512]; sa[512:768]; ua[768:1024]; vis=sv+uv; aud=sa+ua; syn=sv+sa; uniq=uv+ua"
"7","20","HEAD ABLATION","A6 trained head: inference ablation (all 8 subspace combos)","avh_sup/eval_head_ablation.py","23658627","A6","—","—","baseline: AV1M=0.9982; FV-RA=0.7206; RV-FA=1.0000; overall=0.8685 | mask_sv: AV1M=0.9986(+0.0004); FV-RA=0.7805(+0.0599); RV-FA=1.0000; overall=0.8968(+0.0283) | mask_uv: AV1M=0.9967(-0.0015); FV-RA=0.3661(-0.3544); RV-FA=1.0000; overall=0.7039(-0.1647) | mask_sa: AV1M=0.9971(-0.0012); FV-RA=0.7882(+0.0676); RV-FA=1.0000; overall=0.9000(+0.0314) | mask_ua: AV1M=0.8430(-0.1552); FV-RA=0.7287(+0.0081); RV-FA=0.7462; overall=0.7350(-0.1336) | mask_vis: AV1M=0.9968(-0.0015); FV-RA=0.4841(-0.2365); RV-FA=1.0000; overall=0.7590(-0.1096) | mask_aud: AV1M=0.7641(-0.2341); FV-RA=0.7870(+0.0665); RV-FA=0.5498; overall=0.7761(-0.0924) | mask_syn: AV1M=0.9965(-0.0018); FV-RA=0.8614(+0.1408); RV-FA=1.0000; overall=0.9345(+0.0660) | mask_uniq: AV1M=0.7136(-0.2847); FV-RA=0.3417(-0.3789); RV-FA=0.8694; overall=0.3568(-0.5118)","mask_uv ΔFVRA=−0.3544 (dedicated visual pathway). mask_uniq Δoverall=−0.5118 (catastrophic). Domain adversarial forced routing through unique subspaces","THE main paper evidence. A6 dedicated u_v for FV-RA; u_a for RV-FA/FV-FA. Unique subspaces are task-critical","Same subspace ablation as A5"
"7","21","HEAD ABLATION","FV-RA routing summary across all models","Aggregated from head_ablation.py","23658625 / 23658626 / 23658627","A2 / A5 / A6","FV-RA_base=0.4949; primary_path=a_c; ΔFVRA_from_mask_vc=-0.0336","FV-RA_base=0.5860; primary_path=vis(sv+uv); ΔFVRA_from_mask_vis=-0.1131","FV-RA_base=0.7206; primary_path=u_v only; ΔFVRA_from_mask_uv=-0.3544","Trend A2→A5→A6 ΔFVRA: −0.034→−0.113→−0.354. Progressive visual routing specialization under adversarial training","Core ablation cascade figure for paper","FV-RA baseline AUC and AUC drop from zeroing primary detection pathway for each model"
"8","22","SANITY CHECKS","Modality-origin probe (FV-RA vs RV-FA in Z_c/Z_s)","avh_sup/eval_modality_origin_probe.py","23656622 / 23656623","A2 / A6","Zc_AUC=0.9988; Zs_AUC=0.9992","—","Zc_AUC=1.0000; Zs_AUC=1.0000","Near-perfect both models. Does NOT differentiate binary vs FCD","Sanity/supplementary only","Linear probe classifying FV-RA vs RV-FA. N=1854 FV-RA vs 100 RV-FA"
"8","23","SANITY CHECKS","Manipulation probe (FV-RA vs FV-FA — audio manipulation detectable?)","Existing manipulation probe","Prior batches","A0 / A1 / A2 / A3 / A6","Zc_AUC=0.9999; Zs_AUC=0.9999","—","Zc_AUC=0.9995; Zs_AUC=0.9999","Near-perfect all models. Audio manipulation trivially detectable. Does NOT differentiate models","Sanity/supplementary only","Probe: can Z distinguish FV-RA (video fake only) from FV-FA (video+audio fake)?"
"9","24","LEADING SILENCE","True-trimmed leading-silence evaluation (corrected protocol)","avh_sup/eval_leading_silence_robustness.py","eval_silence_rob_trimmed_A5_seed43 / eval_silence_rob_trimmed_A6_seed43","A5 / A6","—","overall_trimmed=0.7489 (Δ=-0.0697); RV-FA_trimmed=0.8994 (Δ=-0.0962); FV-RA_trimmed=0.6058 (Δ=-0.0098); FV-FA_trimmed=0.8674 (Δ=-0.1209)","overall_trimmed=0.8187 (Δ=-0.0698); RV-FA_trimmed=0.8654 (Δ=-0.1346); FV-RA_trimmed=0.7648 (Δ=+0.0080); FV-FA_trimmed=0.8638 (Δ=-0.1349)","Corrected true-trimmed eval leaves FV-RA essentially unchanged for A5 and slightly improved for A6. The drop is concentrated in audio-fake categories, so the old feature-zeroing result should not be used for paper claims.","Supplementary robustness result; supports visual-routing claim. Exclude feature-zeroing runs from paper-facing interpretation.","Same seed43 checkpoints as main A5/A6. Use /data/.../favc_features_trimmed (raw waveform leading silence removed, AV-HuBERT re-extracted), trim_frames=0"
