"group_order","row_order","experiment_group","experiment_name","script","job_ids","model_label","metric_name_raw","metric_name","metric_value","metric_std","metric_delta","source_fragment","paper_usage"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A5","delta","delta","-0.2980","","","Zc@100%=0.6990 (delta=-0.2980)","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A5","Zs@100%","zs_at_100pct","0.6882","","","Zs@100%=0.6882","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A6","Zc_base","zc_base","0.9948","","","Zc_base=0.9948","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A6","Zc@100%","zc_at_100pct","0.6624","","","Zc@100%=0.6624 (delta=-0.3325)","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A6","delta","delta","-0.3325","","","Zc@100%=0.6624 (delta=-0.3325)","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A6","Zs@100%","zs_at_100pct","0.6888","","","Zs@100%=0.6888","FCD Z_c has more non-audio capacity"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","Zc_base","zc_base","0.9421","","","Zc_base=0.9421","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","Zc_sigma_1.0","zc_sigma_1_0","0.5664","","","Zc_sigma_1.0=0.5664 (delta=-0.3757)","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","delta","delta","-0.3757","","","Zc_sigma_1.0=0.5664 (delta=-0.3757)","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","Zs_sigma_1.0","zs_sigma_1_0","0.5555","","","Zs_sigma_1.0=0.5555","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","Zc_base","zc_base","0.9970","","","Zc_base=0.9970","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","Zc_sigma_1.0","zc_sigma_1_0","0.6972","","","Zc_sigma_1.0=0.6972 (delta=-0.2998)","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","delta","delta","-0.2998","","","Zc_sigma_1.0=0.6972 (delta=-0.2998)","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","Zs_sigma_1.0","zs_sigma_1_0","0.7120","","","Zs_sigma_1.0=0.7120","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","Zc_base","zc_base","0.9948","","","Zc_base=0.9948","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","Zc_sigma_1.0","zc_sigma_1_0","0.6741","","","Zc_sigma_1.0=0.6741 (delta=-0.3208)","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","delta","delta","-0.3208","","","Zc_sigma_1.0=0.6741 (delta=-0.3208)","Two methods agree on non-audio residual"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","Zs_sigma_1.0","zs_sigma_1_0","0.7115","","","Zs_sigma_1.0=0.7115","Two methods agree on non-audio residual"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","Zc_base","zc_base","0.9421","","","Zc_base=0.9421","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","Zc@100%","zc_at_100pct","0.9057","","","Zc@100%=0.9057 (delta=-0.0364)","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","delta","delta","-0.0364","","","Zc@100%=0.9057 (delta=-0.0364)","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","Zc_base","zc_base","0.9970","","","Zc_base=0.9970","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","Zc@100%","zc_at_100pct","0.9958","","","Zc@100%=0.9958 (delta=-0.0012)","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","delta","delta","-0.0012","","","Zc@100%=0.9958 (delta=-0.0012)","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","Zc_base","zc_base","0.9948","","","Zc_base=0.9948","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","Zc@100%","zc_at_100pct","0.9960","","","Zc@100%=0.9960 (delta=+0.0012)","Negative control: confirms FAVC FV-RA is the right visual test"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","delta","delta","+0.0012","","","Zc@100%=0.9960 (delta=+0.0012)","Negative control: confirms FAVC FV-RA is the right visual test"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","Zc_base","zc_base","0.9421","","","Zc_base=0.9421","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","Zc_sigma_1.0","zc_sigma_1_0","0.8995","","","Zc_sigma_1.0=0.8995 (delta=-0.0426)","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2","delta","delta","-0.0426","","","Zc_sigma_1.0=0.8995 (delta=-0.0426)","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","Zc_base","zc_base","0.9970","","","Zc_base=0.9970","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","Zc_sigma_1.0","zc_sigma_1_0","0.9940","","","Zc_sigma_1.0=0.9940 (delta=-0.0030)","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A5","delta","delta","-0.0030","","","Zc_sigma_1.0=0.9940 (delta=-0.0030)","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","Zc_base","zc_base","0.9948","","","Zc_base=0.9948","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","Zc_sigma_1.0","zc_sigma_1_0","0.9939","","","Zc_sigma_1.0=0.9939 (delta=-0.0009)","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A6","delta","delta","-0.0009","","","Zc_sigma_1.0=0.9939 (delta=-0.0009)","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)"
"4","9","A2 TRAINED HEAD (PER CATEGORY)","A2 causal head: FV-RA under all perturbation types","avh_sup/eval_perturbation_robustness.py","23656795","A2 only","baseline","baseline","0.5462","","","baseline=0.5462","Hard proof of trained-head failure. Contrast with FAVC branch probe Z_c=0.99 on FV-RA"
"4","9","A2 TRAINED HEAD (PER CATEGORY)","A2 causal head: FV-RA under all perturbation types","avh_sup/eval_perturbation_robustness.py","23656795","A2 only","audio_noise@1.0","audio_noise_at_1_0","0.3198","","","audio_noise@1.0=0.3198","Hard proof of trained-head failure. Contrast with FAVC branch probe Z_c=0.99 on FV-RA"
"4","9","A2 TRAINED HEAD (PER CATEGORY)","A2 causal head: FV-RA under all perturbation types","avh_sup/eval_perturbation_robustness.py","23656795","A2 only","visual_noise@1.0","visual_noise_at_1_0","0.4714","","","visual_noise@1.0=0.4714","Hard proof of trained-head failure. Contrast with FAVC branch probe Z_c=0.99 on FV-RA"
"4","9","A2 TRAINED HEAD (PER CATEGORY)","A2 causal head: FV-RA under all perturbation types","avh_sup/eval_perturbation_robustness.py","23656795","A2 only","audio_mask@100%","audio_mask_at_100pct","0.5253","","","audio_mask@100%=0.5253","Hard proof of trained-head failure. Contrast with FAVC branch probe Z_c=0.99 on FV-RA"
"4","9","A2 TRAINED HEAD (PER CATEGORY)","A2 causal head: FV-RA under all perturbation types","avh_sup/eval_perturbation_robustness.py","23656795","A2 only","visual_mask@100%","visual_mask_at_100pct","0.4694","","","visual_mask@100%=0.4694","Hard proof of trained-head failure. Contrast with FAVC branch probe Z_c=0.99 on FV-RA"
"4","9","A2 TRAINED HEAD (PER CATEGORY)","A2 causal head: FV-RA under all perturbation types","avh_sup/eval_perturbation_robustness.py","23656795","A2 only","temporal_shuffle@100%","temporal_shuffle_at_100pct","0.4903","","","temporal_shuffle@100%=0.4903","Hard proof of trained-head failure. Contrast with FAVC branch probe Z_c=0.99 on FV-RA"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2","base","base","0.9925","","","base=0.9925","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2","audio_mask@100%","audio_mask_at_100pct","0.9882","","","audio_mask@100%=0.9882 (delta=-0.0043)","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2","delta","delta","-0.0043","","","audio_mask@100%=0.9882 (delta=-0.0043)","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A5","base","base","0.9898","","","base=0.9898","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A5","audio_mask@100%","audio_mask_at_100pct","0.9924","","","audio_mask@100%=0.9924 (delta=+0.0025)","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A5","delta","delta","+0.0025","","","audio_mask@100%=0.9924 (delta=+0.0025)","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A6","base","base","0.9892","","","base=0.9892","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A6","audio_mask@100%","audio_mask_at_100pct","0.9807","","","audio_mask@100%=0.9807 (delta=-0.0085)","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A6","delta","delta","-0.0085","","","audio_mask@100%=0.9807 (delta=-0.0085)","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2","base","base","0.9925","","","base=0.9925","Sanity check: modality-specific collapse validates probe methodology"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2","visual_mask@100%","visual_mask_at_100pct","0.3565","","","visual_mask@100%=0.3565 (delta=-0.6361)","Sanity check: modality-specific collapse validates probe methodology"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2","delta","delta","-0.6361","","","visual_mask@100%=0.3565 (delta=-0.6361)","Sanity check: modality-specific collapse validates probe methodology"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A5","base","base","0.9898","","","base=0.9898","Sanity check: modality-specific collapse validates probe methodology"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A5","visual_mask@100%","visual_mask_at_100pct","0.3400","","","visual_mask@100%=0.3400 (delta=-0.6499)","Sanity check: modality-specific collapse validates probe methodology"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A5","delta","delta","-0.6499","","","visual_mask@100%=0.3400 (delta=-0.6499)","Sanity check: modality-specific collapse validates probe methodology"
"5","11","FAVC BRANCH PROBE","FV-RA: visual masking (sanity collapse)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A6","base","base","0.9892","","","base=0.9892","Sanity check: modality-specific collapse validates probe methodology"
